Topic,Method,Tag,Function,Package,Description,Link
Discrete Distributions,Fitting,Method,chisq.test(),stats,Chi-square test for discrete distributions,https://rdrr.io/r/stats/chisq.test.html
Discrete Distributions,Fitting,Method,goodfit(),vcd,Fit and test discrete distributions (Poisson binomial negative binomial),https://rdrr.io/cran/vcd/man/goodfit.html
Discrete Distributions,Fitting,Method,fitdistr(),MASS,ML fitting for various distributions,https://rdrr.io/cran/MASS/man/fitdistr.html
Discrete Distributions,Fitting,Method,fitdist(),fitdistrplus,Comprehensive fitting with multiple methods,https://rdrr.io/cran/fitdistrplus/man/fitdist.html
Discrete Distributions,Fitting,Method,chisq_test(),discretefit,Fast MC simulations for GOF tests,https://rdrr.io/cran/discretefit/man/chisq_test.html
Discrete Distributions,Distribution,Distribution,"dbinom(), pbinom(), qbinom(), rbinom()",stats,Binomial distribution functions,https://rdrr.io/r/stats/Binomial.html
Discrete Distributions,Distribution,Distribution,"dpois(), ppois(), qpois(), rpois()",stats,Poisson distribution functions,https://rdrr.io/r/stats/Poisson.html
Discrete Distributions,Distribution,Distribution,"dnbinom(), pnbinom(), qnbinom(), rnbinom()",stats,Negative Binomial distribution functions,https://rdrr.io/r/stats/NegBinomial.html
Discrete Distributions,Distribution,Distribution,"dgeom(), pgeom(), qgeom(), rgeom()",stats,Geometric distribution functions,https://rdrr.io/r/stats/Geometric.html
Discrete Distributions,Visualization,Plot Type,rootogram(),vcd,Compare observed vs fitted frequencies,https://rdrr.io/cran/vcd/man/rootogram.html
Discrete Distributions,Visualization,Plot Type,Ord_plot(),vcd,Diagnose distribution type,https://rdrr.io/cran/vcd/man/Ord_plot.html
Discrete Distributions,Visualization,Plot Type,distplot(),vcd,Diagnostic plot for count distributions,https://rdrr.io/cran/vcd/man/distplot.html
Two-Way Contingency Tables,Testing,Test,chisq.test(),stats,Test of independence,https://rdrr.io/r/stats/chisq.test.html
Two-Way Contingency Tables,Testing,Test,loglm(),MASS,G² test via loglinear model,https://rdrr.io/cran/MASS/man/loglm.html
